"","Gender","Age","Education_lev","fluidIQ","freq_calls","freq_Tools","freq_Finance","freq_Games","freq_Entertainment","freq_Productivity","freq_Personalization","freq_News...Magazines","freq_Unknown","freq_Photography","freq_Shopping","freq_Communication","freq_Books...Reference","freq_Travel...Local","freq_Music...Audio","freq_Medical","freq_Education","freq_Business","freq_Lifestyle","freq_Transportation","freq_Weather","freq_Sports","freq_Browser","freq_Health...Fitness","freq_Media...Video","freq_Social","freq_Comics","dur_calls","dur_Tools","dur_Finance","dur_Games","dur_Entertainment","dur_Productivity","dur_Personalization","dur_News...Magazines","dur_Unknown","dur_Photography","dur_Shopping","dur_Communication","dur_Books...Reference","dur_Travel...Local","dur_Music...Audio","dur_Medical","dur_Education","dur_Business","dur_Lifestyle","dur_Transportation","dur_Weather","dur_Sports","dur_Browser","dur_Health...Fitness","dur_Media...Video","dur_Social","dur_Comics","Emotional Stability"
"69","2","19","4","0.9253","116","39","0","13","23","24","0","90","2","27","1","1233","1","4","39","43","0","0","252","53","2","0","31","0","2","218","0","71.5603448275862","28.1588234791317","0","501.714285714286","165.720136389715","17.6720333207031","0","250.529054838484","6.23897722763765","6.82528375224158","929","63.4134051685169","108","231","19.317186365124","14.9842231226769","0","0","25.0603193160121","86.9263233542957","62.5","0","93.0779958973295","0","0","262.221798294035","0","1"
"70","2","26","4","-0.4214","79","188","0","0","15","146","0","12","10","71","0","860","7","10","5","0","0","7","0","0","91","0","300","0","24","8","0","8.10126582278481","6.46841078337903","0","0","39.3144140467476","21.9408815051033","0","5","10.1320173331175","22.1790071625128","0","8.82876059983736","2","42.391171053264","6","0","0","5.32667372239701","0","0","17.5488420088769","0","52.5808013282842","0","6.42857221014629","4","0","0"
"71","1","23","4","2.3534","171","2560","297","696","170","323","11","8","2289","210","39","2258","11","112","84","0","107","58","31","0","0","0","1659","9","11","28","6","222.485380116959","7.05466732657363","30.2185495934529","85.7993475918186","12.5995315313079","15.399149104816","2.99600820135237","13","4.5762223426588","5.72329318840138","14.0224636620446","12.223277100711","15.2857142857143","14.6274987922033","2.96208688938567","0","24.413800379144","6.22052244904208","186.095869814371","0","0","0","44.6304060549822","26.7041106060648","1.29800242257695","39.149388525919","0","1"
"72","1","21","4","1.0024","174","187","42","545","97","96","0","1","8","101","3","1826","18","36","9","0","0","8","15","61","0","111","61","15","0","0","9","72.6091954022989","14.6217178418556","42.4362816869082","145.529174706683","42.1719882977555","29.9419093269595","0","2","3.55523055210558","24.6791090586879","30","34.1247930723472","114.435482741603","50.65","16.6400278181661","0","0","0","138.156211067053","43.8474576271186","0","145.421131468863","58.3077101779594","26.2050505874406","0","0","103.36516495346","1"
"73","2","28","5","0.656","32","122","0","5","0","140","0","144","15","80","0","963","2","24","67","0","60","14","0","38","0","0","117","0","1","0","0","258","32.6085972342512","0","234.75","0","20.6958361621395","0","15.6361361227947","5.49784542467956","40.7229612178906","0","33.7579564733277","0","89.2561416180772","33.239868684411","0","244.862269858535","298.910349155132","0","55.089653471301","0","0","171.928595934412","0","12","0","0","1"
"74","1","32","4","-0.1564","1011","314","0","0","9","57","0","0","6","74","0","2318","0","5","40","0","0","0","0","0","9","0","109","0","0","49","0","74.6973293768546","23.5851961636685","0","0","10","15.9600489484534","0","0","5.82701740133531","26.4203978390597","0","10.8975481377143","0","37.8268717847786","9.66430288416028","0","0","0","0","0","13.2933820131872","0","74.1929463712931","0","0","23.5481934481666","0","0"
"75","2","18","4","0.5404","1055","343","9","4","70","251","0","48","45","238","18","4599","4","84","123","0","0","110","8","60","5","18","524","2","99","2999","0","43.3611374407583","20.5590716182068","5.33333333333333","381","142.198256361576","33.5186935664978","0","44.1708239318452","3.0075553148459","29.9455027831414","73.2526173776957","16.5740602432077","0","49.24001552115","35.7698307710205","0","0","34.1079598295543","7.78801453546168","40.3010270811853","13.6","48.9287956732558","70.2121869902493","0","20.4918352020901","39.1257283338436","0","0"
"76","2","23","4","0.711","13","141","0","603","13","115","0","14","23","73","0","919","4","10","21","0","28","1","9","30","0","34","117","22","12","9","0","920.230769230769","12.4464836119408","0","129.521503672735","324","100.312419695871","0","0","2.86663480837487","16.5456379044179","0","19.8670489573437","0","65.5","21.2222222222222","0","26.5228087423879","48","23.6601031919164","69.4479607507383","0","32.8760424823503","53.6138673250114","30.8250475278336","14.1666728589935","62","0","0"
"77","1","19","4","0.9055","90","287","0","384","90","88","0","0","18","33","0","5468","239","23","159","0","0","52","0","114","0","15","1292","0","2","41","0","29.5444444444444","12.3608880252434","0","133.992590778063","100.817965091663","22.2981868726872","0","0","2.11390591177042","15.2565751777735","0","41.3905978535365","11.8427325981315","62.7400452852833","14.0789473299731","0","0","23.8933531807063","0","47.6040555077065","0","48.2286324604701","94.419540786016","0","0","31.5927767094845","0","0"
"78","2","24","5","0.5107","98","106","42","0","14","44","0","2","3","59","4","1170","4","86","14","0","154","7","0","152","0","0","118","4","14","0","0","50","9.91127294547305","44.0168856341148","0","14.9633781519908","15.3947368421053","0","0","3.0714983516451","21.8440348849657","0","23.5085930132276","0","67.0330005988466","5.9750278427897","0","123.367174358439","39.6200462172734","0","36.2919953261642","0","0","56.578807714161","0","20.9836496644885","0","0","0"
"79","2","21","4","0.8868","217","211","0","9","12","176","0","43","30","228","0","3807","4","173","28","0","1","0","7","0","0","0","674","0","11","6","0","85.2534562211982","14.3727344760145","0","10","61.0561369878544","26.2809241938139","0","160.80047913009","3.00456322009933","17.1704672115806","0","27.379535124639","0","55.6693953796387","13.9845575699307","0","34","0","28","0","0","0","87.6288930572261","0","27","17","0","0"
"80","2","24","5","0.8584","269","218","0","101","15","104","0","39","8","503","0","3669","8","42","4","0","0","5","3","48","23","0","308","0","3","1087","0","297.602230483271","14.9601517978942","0","16.1149185356809","68.6750897068662","5.07436269873016","0","34.5978851042812","2.48983651219997","13.8560098577988","0","33.873137706364","4","67.7614792957101","0","0","0","34","4","58.13916317636","24.0716339880988","0","40.0702309760882","0","1","37.5967427615135","0","1"
"81","1","24","5","0.4346","135","183","7","0","8","125","0","6","81","42","0","1137","0","50","6","0","0","0","26","63","0","0","233","0","0","433","0","19.5851851851852","16.657680770749","110.300370616264","0","22","20.8495779061235","0","3.16333704358292","4.72588014628224","18.4919129065358","0","29.5624102760489","0","61.7121874878767","0","0","0","0","45.8595485993099","63.9156110763246","0","0","104.860532220564","0","0","101.366150804558","0","1"
"82","2","20","4","0.9814","113","151","0","321","80","156","0","6","5","132","0","2364","6","21","185","47","0","0","0","24","13","22","639","0","4","386","0","71.8141592920354","13.0591323899195","0","517.762787905341","121.587724755055","23.3689037479232","0","0","3.29141215489857","48.833009917255","0","40.7915037519072","0","109.072235014546","28.8855472159099","9.07244270668403","0","0","0","91.6614632944151","18.2366725893782","80.5539978106814","112.962638521723","0","0","36.8489207309836","0","1"
"83","1","21","4","0.7566","28","293","6","199","17","281","0","0","19","385","80","4621","143","66","39","0","33","22","0","105","13","0","727","0","9","1659","0","12.0714285714286","13.0442098646238","37","188.938816589128","276.625","19.0246734790319","0","0","3.14782796639825","24.3444332829944","50.9062744911653","32.099305141959","193.623821085233","51.1837904197218","15.1223070242175","0","11.257626975695","97.4191554411728","0","36.7840198490191","6.53779906138961","0","97.6167827794558","0","1352.46483723271","134.498118233519","0","0"
"84","2","26","4","-0.3376","318","292","0","0","6","99","0","141","56","49","5","2218","4","32","14","6","0","2","0","18","0","0","117","23","4","4","0","230.415094339623","19.3761305678051","0","0","122","29.5708801569308","0","177.75275771809","15.3240737240125","29.2178093542288","246","46.8180003542768","0","117.787352683412","12.3983537806866","46.9051058026009","0","86","0","50.4127598836082","0","0","123.27159600786","60.6118756023489","0","25","0","1"
"85","2","24","4","1.263","832","180","0","0","13","61","0","4","28","141","0","1808","4","60","21","0","0","14","0","2","75","0","64","0","2","7","0","143.997596153846","18.8138337337532","0","0","38.3333333333333","41.1877535309996","0","0","6.89432098255897","38.7906632730716","0","15.2040913448402","21","90.4292951737509","10.0909090909091","0","0","97.7142857142857","0","0","29.7301809400429","0","51.8037897872022","0","0","6","0","1"
"86","2","20","4","0.9317","372","1082","0","603","32","380","24","4","658","439","0","7765","42","184","38","50","0","1","38","0","105","0","590","8","108","3800","0","47.7795698924731","1.8978331043416","0","132.862607065569","93","22.6872604775948","1","0","2.24630239006463","11.0287303736547","0","14.7279195242733","15.6748800468107","39.5350775983586","6.17065341530518","1.63224548741216","0","12","1.46562867601903","0","13.3377660914214","0","37.531050671571","0","13.0577201465554","25.5525322926999","0","0"
"87","2","21","5","0.293","49","157","4","2","9","44","0","11","8","110","0","1268","8","95","74","0","2","18","37","121","0","44","609","3","4","6","0","0","29.0257382467869","0","0","79.2","16.1874782375251","0","20","4.97410107241029","20.4899340524983","0","30.9510974612204","0","72.4671275511171","8.45467705234709","0","0","66.9865229789555","15.6400115665715","54.3037620652989","0","19.5819709577207","55.57508929457","53","0","0","0","0"
"88","1","25","5","0.9174","248","181","33","0","14","138","0","11","52","211","8","2184","2","66","17","0","0","60","79","16","28","130","26","0","10","294","0","405.471774193548","18.8204562416857","47.1777703222297","0","159.23431559408","38.1103108492273","0","2","4.84198952103816","22.519338464169","45.4220869255044","27.366409631893","0","46.6981941674693","8.63572010051687","0","0","38.67892843277","51.1129521765987","57.5475796707094","43.1635379527791","68.0936597139608","74.6249106715501","0","35","88.5789754262201","0","1"
