,Gender,Age,Education_lev,fluidIQ,freq_calls,freq_Tools,freq_Finance,freq_Games,freq_Entertainment,freq_Productivity,freq_Personalization,freq_News...Magazines,freq_Unknown,freq_Photography,freq_Shopping,freq_Communication,freq_Books...Reference,freq_Travel...Local,freq_Music...Audio,freq_Medical,freq_Education,freq_Business,freq_Lifestyle,freq_Transportation,freq_Weather,freq_Sports,freq_Browser,freq_Health...Fitness,freq_Media...Video,freq_Social,freq_Comics,dur_calls,dur_Tools,dur_Finance,dur_Games,dur_Entertainment,dur_Productivity,dur_Personalization,dur_News...Magazines,dur_Unknown,dur_Photography,dur_Shopping,dur_Communication,dur_Books...Reference,dur_Travel...Local,dur_Music...Audio,dur_Medical,dur_Education,dur_Business,dur_Lifestyle,dur_Transportation,dur_Weather,dur_Sports,dur_Browser,dur_Health...Fitness,dur_Media...Video,dur_Social,dur_Comics,Emotional Stability,Extraversion,Openness,Conscientiousness,Openness
25,2,20,4,0.4028,202,147,0,161,11,61,0,4,19,51,0,1609,4,161,8,0,0,0,0,0,0,0,128,0,4,375,0,44.43069307,18.82583165,0,350.9396192,41.33333333,51.47012768,0,151,5.55182975,38.47805209,0,30.6377047,0,41.71776583,0,0,0,0,0,0,0,0,69.74156659,0,0,26.82611337,0,0,1,0,0,0
26,2,24,4,-0.2345,89,112,0,1,31,67,0,51,21,69,1,1693,4,129,4,0,0,24,70,25,0,0,480,0,24,479,0,53.46067416,4.874460386,0,18,149.8178366,27.28352651,0,111.3720887,3.019319004,30.60618271,0,46.00844524,0,57.19720722,0,0,0,45.90677617,53.67132265,57.34366471,0,0,92.52414489,0,18.24000877,106.9994384,0,1,0,0,0,0
27,2,27,5,0.0514,229,238,0,0,3,82,0,0,1,37,0,1251,0,12,62,0,0,0,0,43,0,0,19,0,0,4,0,146.8253275,42.70071146,0,0,30,28.47002553,0,0,7.63386182,21.16291736,0,34.85820183,0,57.98822618,9.239297359,0,0,0,0,59.50896757,0,0,31.25777878,0,0,0,0,1,1,1,0,1
28,1,25,4,0.3633,312,155,0,0,0,47,0,0,2401,245,0,2923,17,0,72,0,0,2,0,0,0,0,145,7,0,509,0,117.2115385,17.49335702,0,0,0,17.85540129,0,0,2,13.79612596,0,25.72618488,33.48859639,0,10.16546889,0,0,11.5,0,0,0,0,43.77020302,2,0,48.06238988,0,0,1,1,0,1
29,2,25,5,0.1229,17,159,0,94,19,45,0,12,137,40,0,356,8,14,2,0,2,22,0,47,53,0,127,0,5,10,0,0,5.714729464,0,481.5471676,83.02868666,17.84170666,0,0,2.964727364,21.87288956,0,43.34516553,16.32667409,56.66666667,0,0,582,72.3590737,0,40.26430914,12.27024426,0,70.72311593,0,28,0,0,0,0,0,1,0
30,2,23,4,-0.0782,238,237,0,163,21,40,0,16,113,90,7,2364,7,6,359,0,0,0,0,39,110,0,67,0,2,72,0,255.2773109,16.99224261,0,254.4989507,231.2,27.285234,0,0,2.942063133,22.81196346,57.4,37.38131005,41.94006682,51.34006607,10.65524399,0,0,0,0,55.98113034,34.91576,0,66.02597382,0,0,98.19622375,0,0,0,0,1,0
31,2,22,4,0.2014,114,450,0,170,111,176,0,72,43,186,2,6947,14,49,110,0,0,21,1,210,47,0,1080,11,26,12,0,0,6.284654053,0,43.61587314,51.83963102,18.45373985,0,46.36827633,2.692302151,14.01336278,0,22.11740659,20.97336516,46.13235838,11.90209272,0,0,22.4087704,0,34.04515441,4.220779682,0,87.89590569,42.10767339,152.0208276,0,0,1,0,0,0,0
32,2,21,4,0.498,121,362,3,448,275,40,0,40,62,42,1,2110,4,11,34,0,5,23,0,63,1,27,162,0,23,548,0,0,17.41791084,49,66.35928285,52.7459822,14.08001186,0,27.75756489,3.375991481,37.22831057,0,31.01660092,0,44,6.974313874,0,113.25,46.39432615,0,57.44071912,32,32.97530273,67.36985739,0,55.14854273,112.6804581,0,1,1,1,0,1
33,1,29,5,0.8474,246,269,0,0,33,198,0,0,4,138,0,1815,7,35,135,0,15,15,0,37,22,0,272,27,12,89,0,0,9.151020087,0,0,164.8503812,22.70519115,0,0,17.28145513,20.40074639,0,30.29437084,84.20329443,45.34311947,10.30637793,0,47.15287074,65.75686148,0,60.54294977,14.58801414,0,72.83017749,62.38461538,45.02350439,18.46285731,0,0,1,1,0,1
34,1,21,4,1.0549,84,1420,43,370,311,120,15,213,1417,226,17,1773,4,42,296,0,109,34,150,68,12,1,321,26,5,37,0,66.0952381,1.993703089,58.41399216,13.36514225,99.1357757,10.47795286,2.995008098,105.5207751,3.364168769,7.402690439,34.02404745,11.62801215,0,45.41917328,9.786285741,0,2.369871406,16.19671864,13.9410473,34.43194967,18.29911854,14,37.5165183,13.61000882,4,3.990011137,0,0,0,0,0,0
35,2,27,5,0.9607,153,182,5,0,17,116,0,10,23,77,0,1060,4,27,2,0,0,6,0,38,16,0,202,27,41,8,0,161.0457516,22.88399211,35,0,32.12338587,28.45014555,0,0,5.379395443,22.85971026,0,33.61116156,0,48.98232884,0,0,0,46.03014513,0,42.47599171,15.4375,0,48.91370017,51.51714076,43.60112539,0,0,1,1,1,0,1
36,2,24,4,0.9327,204,161,0,100,41,147,0,35,26,158,18,2683,44,41,89,0,0,17,16,74,1,1,335,0,18,658,0,1347.676471,18.68205505,0,284.3741097,132.4172166,24.5070914,0,32.4,11.60307614,19.82123169,55.73207186,35.07153287,36.98643364,54.27272727,18.20604269,0,0,8.970035153,0,55.78631109,2,23,57.38817329,0,19.29338219,64.47408992,0,0,0,0,0,0
37,2,26,4,0.6427,139,393,0,0,175,118,0,12,53,85,0,2348,16,34,21,0,0,21,5,100,1,0,1453,0,15,10,0,7.050359712,11.63408056,0,0,268.4469222,25.89774325,0,0,2.662403242,21.12235361,0,34.48126974,11.23002055,53.29876678,4.135406515,0,0,38.760064,72.8,50.14467796,2,0,87.01818762,0,60.43196208,78,0,1,1,1,1,1
38,1,21,4,0.9459,362,2836,0,507,46,64,8,4,20,34,0,2089,11,89,63,0,1,5,0,0,0,0,564,3,4,229,0,184.1740331,2.287255446,0,84.22611749,73.6602154,14.37949082,8.313357127,0,3.717782686,6.260011034,0,30.02647425,16.94007059,38.89621532,19.11309068,0,0,157.5,0,0,0,0,48.79899842,0,0,41.06301614,0,0,0,0,0,0
