"";"ID";"Gender";"Age";"Education_lev";"fluidIQ";"Emotional.Stability..N.";"Carefreeness..N1.";"Equanimity..N2.";"Positive.mood..N3.";"Self.consciousness..N4.";"Self.control..N5.";"Emot..robustness..N6.";"Extraversion..E.";"Friendliness..E1.";"Sociableness..E2.";"Assertiveness..E3.";"Dynamism..E4.";"Adventurousness...E5.";"Cheerfulness..E6.";"Openness..O.";"Openn..to.imagin...O1.";"Openn..to.aesth...O2.";"Openn..to.feel...O3.";"Openn..to.actions..O4.";"Openn..to.ideas..O5.";"Openn..to.val..norm...O6.";"Conscientiousness..C.";"Competence..C1.";"Love.of.order..C2.";"Sense.of.duty..C3.";"Ambition..C4.";"Discipline..C5.";"Caution..C6.";"Agreeableness..A.";"Willingness.to.trust..A1.";"Genuineness..A2.";"Helpfulness..A3.";"Obligingness..A4.";"Modesty..A5.";"Good.naturedness..A6.";"freq_calls";"freq_Tools";"freq_Finance";"freq_Games";"freq_Entertainment";"freq_Productivity";"freq_Personalization";"freq_News...Magazines";"freq_Unknown";"freq_Photography";"freq_Shopping";"freq_Communication";"freq_Books...Reference";"freq_Travel...Local";"freq_Music...Audio";"freq_Medical";"freq_Education";"freq_Business";"freq_Lifestyle";"freq_Transportation";"freq_Weather";"freq_Sports";"freq_Browser";"freq_Health...Fitness";"freq_Media...Video";"freq_Social";"freq_Comics";"mydatatest.avg_duration_calls";"dur_Tools";"dur_Finance";"dur_Games";"dur_Entertainment";"dur_Productivity";"dur_Personalization";"dur_News...Magazines";"dur_Unknown";"dur_Photography";"dur_Shopping";"dur_Communication";"dur_Books...Reference";"dur_Travel...Local";"dur_Music...Audio";"dur_Medical";"dur_Education";"dur_Business";"dur_Lifestyle";"dur_Transportation";"dur_Weather";"dur_Sports";"dur_Browser";"dur_Health...Fitness";"dur_Media...Video";"dur_Social";"dur_Comics"
"123";94005;2;32;5;0,8407;0,4445;0,51;0,9;1,817;0,988;1,36;1,739;0,2838;2,472;2,391;1,235;1,777;0,775;1,172;0,6731;1,558;2,406;3,368;2,849;2,193;1,774;0,5561;1,583;2,251;3,62;3,206;2,132;2,084;0,4979;1,615;1,121;2,343;1,898;1,419;3,611;1172;33;0;0;0;364;0;0;20;49;0;1448;0;0;3;0;0;10;0;0;73;0;185;0;7;0;0;87,0068259385665;12,8052401278984;0;0;0;4,37365590382866;0;0;8,54648254109792;19,3600517686466;0;5,06019566718779;0;0;3;0;0;93,9089976778184;0;0;10,4924769003343;0;153,897161955414;0;28;0;0
"124";94115;1;41;4;0,8845;-0,024;-0,47;0,492;1,817;1,842;-2,101;1,494;1,1152;3,159;3,833;2,631;2,673;4,086;2,187;0,2552;2,09;-0,321;4,215;3,637;0,216;1,132;-1,3894;-0,016;-4,34;-1,593;2,221;0,563;-1,33;-0,7516;0,886;-0,268;1,047;0,041;-1,67;1,67;1001;94;0;10;4;146;0;11;9;11;0;2136;4;116;57;0;0;10;0;4;0;0;12;0;16;10;0;96,3466533466533;18,2545405294677;0;0;0;25,9006102595666;0;80;3,54669373034555;10,5454545454545;0;28,5896408291353;0;36,9887602553022;30,5767766045672;0;0;0;0;0;0;0;10,4700334113476;0;0;0;0
"125";94406;2;25;4;-0,0122;-0,9458;-0,974;-0,807;0,072;0,776;-0,802;-1,755;-0,1266;1,901;1,283;-0,969;1,469;-0,354;1,85;0,3391;2,09;2,075;4,838;1,18;1,29;1,332;-0,9831;-0,016;0,176;0,954;-0,685;-1,132;1,139;-0,3002;1,875;1,683;1,351;0,523;-1,273;1,223;275;283;0;15;30;37;0;12;3;135;0;2427;10;56;22;0;0;1;0;0;0;0;194;0;13;164;0;247,490909090909;15,3373430180715;0;430,81132531679;163,298244222451;23,0985278490787;0;0;2,90839851001781;35,5087805445084;0;39,3615261836976;2;51,4392482597034;3,88202135325958;0;0;144;0;0;0;0;80,023738099319;0;24,7200263550611;66,0555051230195;0
"126";94479;2;25;5;0,5943;0,4939;1,236;0,9;2,073;0,988;1,36;1,02;-7e-04;1,11;1,553;1,498;1,154;0,775;1,172;0,0085;0,114;0,288;2,001;1,974;1,885;1,545;0,2641;2,541;1,687;2,082;2,864;1,816;1,139;-0,1276;0,653;1,394;1,351;1,046;0,516;1,67;461;195;47;0;22;118;0;8;22;425;0;3071;34;140;87;54;33;13;26;165;22;0;496;26;4;122;0;75,1258134490239;20,6776765695348;13,3579720109422;0;70,2192849230431;25,3782365698481;0;0;2,79753924290345;11,7019754202774;0;18,4173931574395;38,9467247357041;38,783392619482;22,7549129217808;2;25,6522394201347;52,1419676751074;16,1619260282135;38,1585502448807;30,3889520629521;0;56,5536553885866;39,0246141194847;0;52,7681697647966;0
"127";94601;2;19;4;0,2617;0,9399;2,261;1,746;2,63;1,41;1,15;1,494;-0,519;-0,164;0,247;0,722;0,837;-0,121;0,523;-0,2175;-0,108;0,773;2,345;1,443;1,885;0,384;0,6309;3,785;1,16;3,62;2,864;2,769;1,139;-0,5429;-0,032;0,154;0,471;1,046;0,734;1,223;221;186;13;116;52;55;0;13;11;73;25;1329;3;26;33;0;0;5;0;40;0;0;287;0;34;416;0;135,316742081448;23,8018028702715;41,2727272727273;269,771305155882;421,055246418502;24,1770280206647;0;35,8801336453906;3,9508366794912;23,0465896470809;46,9358525075251;37,2340034636974;11;121,845647376584;11,7150359894835;0;0;48,6;0;68,7365166252941;0;0;73,2726104713104;0;151,875;99,0460517048819;0
"128";95152;2;19;4;1,8813;0,2777;0,024;1,524;1,568;0,345;2,299;0,313;0,2502;2,178;0,5;-0,252;2,078;1,215;3,249;0,9978;1,305;1,336;4,215;2,537;4,313;2,652;1,5297;2,901;4,42;5,504;4,04;3,485;3,915;1,0393;-0,257;1,394;4,775;3,705;1,923;2,861;75;201;0;440;6;424;0;0;18;185;0;3694;75;10;30;0;55;7;0;197;8;0;655;0;15;0;0;6,58666666666667;19,1947017146649;0;114,796537648557;0;21,5022286560706;0;0;2,78114822487037;18,5755216593386;0;32,4333916518882;19,2516786408842;62,2830194979701;10,2938626058429;0;83,1312922819601;7,58401943755716;0;36,6790536501781;4,1880143080078;0;76,3304554471166;0;37,9508157976409;0;0
"129";95295;2;19;4;0,5735;-1,0175;-1,749;-0,357;-1,793;-1,063;1,15;0,313;-0,4986;1,633;0,5;0,722;0,523;-0,121;-0,782;0,7252;3,511;2,075;3,017;1,707;3,235;0,753;0,6018;1,583;1,16;3,144;3,206;2,447;3,455;0,0317;-0,481;0,862;2,712;0,779;0,093;2,861;138;218;0;0;111;104;65;4;102;182;29;1491;73;44;27;0;0;32;16;1;0;0;544;17;5;819;0;60,6666666666667;8,63137113509056;0;0;17,7162468357961;22,0879800831899;85,6433745868066;0;3,84028389301881;20,4099783454616;39,9974873495921;51,876866928007;49,7386770333344;51,1413543312894;26;0;0;59,909352404403;59,4721508539857;0;0;0;71,8461914646959;176,540428936069;0;48,5881597074745;0
"130";95470;2;23;5;1,2624;1,3524;0,993;2,52;5,595;0,988;0,11;3,243;1,1332;4,217;1,283;4,407;3,682;-1,337;4,827;-0,6022;1,558;-1,145;3,755;-0,094;0,216;0,197;1,1234;2,901;1,421;2,401;4,659;5,747;2,401;1,7466;4,211;4,246;4,775;3,705;-1,082;5,167;260;455;4;32;76;312;1;5;78;48;73;3561;28;95;71;0;2;2;47;207;2;0;322;234;0;471;5;63,2615384615385;15,6256980237338;10;67,0962262575582;22,5154115325578;14,3011956820285;4;12;2;18,9920396934927;26,3702904566806;13,1931415804869;39,7550620391351;59,7877323060564;5,37470973440692;0;218;32;13,9045531213407;21,5463622769266;0;0;29,3739652857871;8,9664345330148;0;36,9458768309328;62,0801593546342
"131";95538;2;22;4;-0,0995;-0,4131;-0,974;0,075;0,834;0,988;0,533;-0,688;0,0915;2,178;1,018;1,498;1,154;1,215;1,172;-0,5174;-0,108;-0,169;2,345;1,18;0,727;0,384;-0,2025;0,722;0,905;2,082;1,579;1,175;1,139;0,1261;1,875;1,683;2,343;0,779;0,516;1,67;915;116;0;0;2;54;0;6;41;137;0;2598;4;47;7;0;0;35;0;0;0;0;253;0;10;358;0;84,3300546448087;25,5380823745817;0;0;0;27,5970953696701;0;0;3,65164728367068;53,0300177457174;0;20,0772417685609;0;80,2031643338108;37,2;0;0;81,3088656506451;0;0;0;0;92,0031975480047;0;14,933412555297;75,531420701632;0
"132";95904;2;18;4;1,2295;0,5888;1,482;1,746;1,323;0,988;0,739;1,739;0,3693;0,85;1,553;2,043;2,375;1,215;2,527;0,3011;1,305;1,554;0,591;2,248;2,193;1,545;0,0056;0,997;1,16;1,782;2,221;2,447;0,834;-0,3926;-0,481;1,683;1,047;0,523;0,956;0,389;199;609;9;285;406;387;0;11;388;99;0;1874;114;58;186;0;56;34;0;108;17;0;224;0;16;374;0;174,869346733668;6,6812020523512;46,8571428571429;198,61136475217;7,67841954306457;13,1438446111316;0;47,9267426606795;3,33468101508194;16,0971030765798;0;25,5467328094637;17,1391709826476;46,4925045633634;7,7249465835215;0;22,2780829960086;50,114547001672;0;35,0257120321512;31,9500188533068;0;55,9533654780484;0;44,5900850353703;91,7156388452929;0
