"Name","Category_old","Category_new"
"radio.de","Music &amp; Audio","Music & Audio"
"Readers Hub store","Unknown","Tools"
"RealCalc","Productivity","Tools"
"Rechner-Widget","Unknown","Tools"
"Recorder","Unknown","Productivity"
"Regen-Alarm","Weather","Tools"
"Reise","Unknown","Travel & Local"
"Remote-Freigaben","Unknown","Tools"
"Rescue Security","Unknown","Tools"
"Restorer","Puzzle","Tools"
"Riptide GP","Unknown","Racing"
"Riptide GP2","Unknown","Racing"
"Round & Workout Timer","Sports","Health & Fitness"
"Runtastic Music","Music &amp; Audio","Music & Audio"
"S Note","Unknown","Productivity"
"S Voice","Unknown","Tools"
"Samsung Hub","Unknown","Tools"
"Samsung Video","Unknown","Media & Video"
"SanDisk Memory Zone","Productivity","Tools"
"Scary Sounds HD","Entertainment","Music & Audio"
"Schneller Notizblock","Tools","Productivity"
"Schweizer Taschenmesser","Unknown","Tools"
"SeCore Security","Business","Tools"
"Select Player","Unknown","Entertainment"
"Settings","Unknown","Productivity"
"Shisha","Unknown","Lifestyle"
"Simple Alarm Clock","Unknown","Tools"
"Simple MP3","Unknown","Music & Audio"
"simple mp3 downloader","Unknown","Music & Audio"
"Simple mp3 Downloader","Unknown","Music & Audio"
"Simple Mp3 Pro","Unknown","Music & Audio"
"SkySpy free","Unknown","Tools"
"Smart Remote","Entertainment","Tools"
"SnapApp","Unknown","Photography"
"Social Network","Personalization","Social"
"SocialEngine","Unknown","Social"
"Sound Search for Google Play","Music &amp; Audio","Music & Audio"
"SoundAlive","Unknown","Music & Audio"
"Speak","Unknown","Lifestyle"
"SpeakerProximity","Unknown","Lifestyle"
"Sprach-Memo","Unknown","Tools"
"Sprach Rekorder","Unknown","Productivity"
"Sprachmemo","Unknown","Tools"
"Standard Atmosphere Calculator","Books &amp; Reference","Tools"
"Streaming Media Player","Unknown","Entertainment"
"Streaming Player","Unknown","Entertainment"
"Super Sprachrecorder","Music &amp; Audio","Productivity"
"Swype","Unknown","Tools"
"Swype + Dragon","Productivity","Tools"
"Tank90HD","Unknown","Action"
"Taschen-
lampe","Unknown","Tools"
"Taschen​lampe","Unknown","Tools"
"Teamplanbuch Free","Productivity","Books & Reference"
"TETRIS®","Unknown","Puzzle"
"The Complete Works of Jin Yong perfect edition","Unknown","Books & Reference"
"ThinkFree Viewer","Unknown","Business"
"Timer","Unknown","Productivity"
"Tipico AppMobile","Unknown","Sports"
"Tonaufnahme","Unknown","Productivity"
"Tourscanner","Travel &amp; Local","Tools"
"Tower Defense 2","Role Playing","Strategy"
"TrackID™ TV","Media &amp; Video","Entertainment"
"Trim_n_Slow","Unknown","Tools"
"TrimIt","Unknown","Tools"
"Tube Mp3","Unknown","Music & Audio"
"TubeNow","Unknown","Entertainment"
"TV","Unknown","Entertainment"
"TVShow Time","Social","Entertainment"
"TVSMILES","Trivia","Entertainment"
"Twitch","Entertainment","Communication"
"Twitch","Unknown","Communication"
"Twitter Engine","Unknown","Social"
"Twitter Widget","Unknown","Social"
"UC Browser","Communication","Browser"
"Uhr (digital)","Unknown","Tools"
"Uhr (funky)","Unknown","Tools"
"Uhr (modern)","Unknown","Tools"
"Uhren","Unknown","Tools"
