,Gender,Age,Education_lev,fluidIQ,freq_calls,freq_Tools,freq_Finance,freq_Games,freq_Entertainment,freq_Productivity,freq_Personalization,freq_News...Magazines,freq_Unknown,freq_Photography,freq_Shopping,freq_Communication,freq_Books...Reference,freq_Travel...Local,freq_Music...Audio,freq_Medical,freq_Education,freq_Business,freq_Lifestyle,freq_Transportation,freq_Weather,freq_Sports,freq_Browser,freq_Health...Fitness,freq_Media...Video,freq_Social,freq_Comics,dur_calls,dur_Tools,dur_Finance,dur_Games,dur_Entertainment,dur_Productivity,dur_Personalization,dur_News...Magazines,dur_Unknown,dur_Photography,dur_Shopping,dur_Communication,dur_Books...Reference,dur_Travel...Local,dur_Music...Audio,dur_Medical,dur_Education,dur_Business,dur_Lifestyle,dur_Transportation,dur_Weather,dur_Sports,dur_Browser,dur_Health...Fitness,dur_Media...Video,dur_Social,dur_Comics
90,1,20,4,0.7417,33,390,0,31,46,248,0,8,2626,60,1,953,2,55,206,0,0,31,0,0,0,8,505,363,12,775,0,24.7272727272727,11.0852896679018,0.0,159.662463157485,542.987518446302,15.692058260117,0.0,0.0,2.0,16.7783431837605,0.0,18.9735165642083,0.0,44.194203098228996,10.525166553513,0.0,0.0,24.4225149766434,0.0,0.0,0.0,58.875,73.16844266067409,27.6417780022093,28.613397790145896,67.8543114178015,0.0
15,2,19,4,0.9034,253,300,0,0,19,55,0,22,14,227,0,2083,13,24,7,0,0,12,0,48,6,0,99,0,13,275,0,0.0,24.8040303298478,0.0,0.0,51.3333512290304,42.265285630506796,0.0,18.6782383215886,2.7989004975791403,26.2256611801482,0.0,27.1234447844178,74.0712811967002,77.7009514120652,0.0,0.0,0.0,23.8333333333333,0.0,70.9358618190463,2.0,0.0,70.2800867729311,0.0,36.8571428571429,100.38250621233401,0.0
106,1,21,4,-0.0214,174,1172,0,352,72,680,0,915,59,303,76,4560,657,168,673,0,4,0,192,74,55,0,1322,431,18,1774,0,25.017241379310303,16.6118475174704,0.0,247.555660608813,30.838141040146603,24.6391963329989,0.0,152.832935987712,2.0,21.9689167073175,46.4787810569866,31.0362741218249,12.000840191455701,39.410734891786205,12.2818048808498,0.0,0.0,0.0,43.420369306609004,29.4500605635164,15.140491656717801,0.0,34.931574603346,42.4078053748733,2.0,86.31465801608739,0.0
40,2,23,4,2.4034,471,544,0,172,43,494,0,20,70,121,0,3750,2,266,16,47,0,28,2,119,2,6,612,2,7,809,0,133.68152866242,16.4544141682221,0.0,283.292377329431,73.085332885752,22.406469403794897,0.0,0.0,3.63087944487786,43.7759704159093,0.0,18.2010245058981,0.0,55.000743165390006,35.0,2.0,0.0,77.0877930192368,0.0,62.422997794828504,3.5,127.099888628841,64.1877198900501,0.0,152.0,51.562396766915995,0.0
135,2,26,5,0.0797,49,104,0,7,13,45,0,49,40,23,66,541,10,27,20,0,0,0,9,44,1,0,26,11,14,48,0,0.0,11.251959430821199,0.0,63.466904690471495,64.0,36.5325365120459,0.0,97.74100851106621,5.065949794982919,25.0247894466915,39.9962210011287,34.3109282134903,0.0,61.898777640593394,16.260031158810598,0.0,0.0,0.0,5.980022274231759,52.04538612969561,17.0,0.0,40.2477580525644,24.0,0.0,27.362401179903102,0.0
61,1,27,5,1.7293,140,408,0,29,157,272,0,0,70,58,0,1284,76,4,0,0,9,1,0,72,0,0,460,0,86,25,13,217.785714285714,19.495485129583102,0.0,717.1648209765281,45.5807576891385,23.2165832067528,0.0,0.0,5.29364739999178,20.0971040741491,0.0,23.8685424074127,64.14224697397161,112.386949081619,0.0,0.0,99.34033181531521,4.0,0.0,40.2822923451937,0.0,0.0,104.89169341042499,0.0,84.007918146591,51.984526904351995,168.14726764428698
3,2,34,5,0.7387,89,157,0,0,41,75,2,4,3625,102,0,3140,256,108,21,0,0,9,0,3,108,0,263,53,4,118,0,35.314606741573,20.677723045875897,0.0,0.0,84.17302801224301,31.069522291463798,99.0,0.0,3.22702883248218,17.0306550495473,0.0,41.059489203088106,30.1932845779783,42.857907918817894,15.253427397530698,0.0,0.0,11.4057421422229,0.0,2.0,28.180582273392602,0.0,50.146309318993104,37.6000676934134,0.0,63.630655315567,0.0
52,1,18,4,1.4896,76,1725,8,635,95,1178,26,30,1292,51,39,862,153,162,223,0,356,39,0,27,0,0,755,0,123,334,1,117.94736842105301,2.06649153792894,37.333345413208,8.428931016349269,9.53836433457009,13.421553996361698,2.8725030143404298,51.720024285833304,3.53434708808749,19.1089163138032,54.637636712950105,8.5916259194445,31.9621745358336,29.082391656680603,21.4935822079967,0.0,109.77312046412202,22.023497037765498,0.0,33.1505250991055,0.0,0.0,32.3472811496925,0.0,4.16908808911507,37.442935707996995,397.0
107,1,26,4,0.7652,349,319,0,183,8,86,0,65,327,206,0,1391,0,52,139,0,0,12,1,0,19,0,163,0,2,0,0,54.57306590257879,7.8194780142295,0.0,135.878783757589,45.88013364539061,32.5138226814466,0.0,193.799555228158,3.45646192884426,16.1988322889134,0.0,22.092890960679103,0.0,50.7881900228666,10.6725877453585,0.0,0.0,63.512101461430504,3.0,0.0,45.6541635632275,0.0,54.18724263701961,0.0,92.0,0.0,0.0
56,2,26,4,0.6243,113,227,12,10,93,332,0,80,37,296,5,1848,57,132,68,2,49,21,165,128,0,0,400,40,66,12,0,19.1681415929204,29.315564677165103,63.4444444444444,897.444444444444,165.024760675863,30.0893991193833,0.0,106.648040083677,5.852808176528519,22.881663256464602,44.9101002340429,44.6089700642167,50.8657621796722,69.2443079375851,17.8465004164066,4.0,83.3698440400015,61.2389328861689,28.817507951592397,44.1187996245924,0.0,0.0,91.33012660083469,24.987018793151698,35.64563897263329,123.6,0.0
